STATE,STATE_AB,YEAR,STATE_YEAR,Ban Year,Column1,TOTAL_SUICIDE,FEMALE_SUICIDE,MALE_SUICIDE,GENDER,MEDIAN_INCOME,CRIME_RATE,BAN_POLICY,DIVERSITY,MEDIAN_AGE,POL_AFF,EDUCATION_RATE
Mississippi,MS,2013,MS2013,0,0,13,5.4,21,0.48,39670,274.6,0,0.424,36.6,1,0.824
Mississippi,MS,2014,MS2014,0,0,12.7,5.3,20.6,0.481,42970,278.5,0,0.424,36.7,1,0.83
Mississippi,MS,2015,MS2015,0,0,14.3,6,23.2,0.478,48460,275.8,0,0.427,37,1,0.835
Mississippi,MS,2016,MS2016,0,0,12.8,5.1,21,0.476,49310,280.5,0,0.428,37.2,1,0.841
Mississippi,MS,2017,MS2017,0,0,14.8,5.7,24.6,0.48,51030,285.7,0,0.431,37.5,1,0.844
Mississippi,MS,2018,MS2018,0,0,14.1,5.1,23.6,0.478,49450,234.4,0,0.433,37.7,1,0.854
Mississippi,MS,2019,MS2019,0,0,14.6,5.2,24.7,0.475,51010,277.9,0,0.434,38.3,1,0.853
Mississippi,MS,2020,MS2020,0,0,13.8,4,24.2,0.478,50880,291.1568276,0,0.4375,37.7,1,0.85
Mississippi,MS,2021,MS2021,0,0,16.2,,,,,,0,,,,
Missouri,MO,2012,MO2012,0,0,15.2,6.3,24.4,0.487,61790,450.9,0,0.191,38.2,0,0.88
Missouri,MO,2013,MO2013,0,0,15.9,6.2,25.9,0.487,56800,433.4,0,0.194,38.1,0,0.887
Missouri,MO,2014,MO2014,0,0,16.8,6.4,27.5,0.487,68500,442.9,0,0.194,38.5,0,0.89
Missouri,MO,2015,MO2015,0,0,17.3,7.4,27.5,0.488,71660,497.4,0,0.198,38.4,0,0.889
Missouri,MO,2016,MO2016,0,0,18.6,8.7,28.8,0.49,66010,519.4,0,0.202,38.4,0,0.896
Missouri,MO,2017,MO2017,0,0,18.8,7.4,30.6,0.488,66660,530.3,0,0.203,38.5,1,0.897
Missouri,MO,2018,MO2018,0,0,20.1,8.6,32,0.487,71350,502.1,0,0.205,38.8,1,0.905
Missouri,MO,2019,MO2019,0,0,18.6,6.8,30.8,0.487,69020,495,0,0.206,38.9,1,0.907
Missouri,MO,2020,MO2020,0,0,18.3,7,30,0.488,70090,542.7089246,0,0.219,38.7,1,0.91
Missouri,MO,2021,MO2021,0,0,18.7,,,,,,0,,,,
Montana,MT,2012,MT2012,0,0,23.2,9.2,37,0.497,55980,272.2,0,0.128,40.2,0,0.93
Montana,MT,2013,MT2013,0,0,23.9,12.1,35.7,0.497,53000,252.9,0,0.126,39.6,0,0.927
Montana,MT,2014,MT2014,0,0,24.4,10.6,38.1,0.496,61810,323.7,0,0.126,39.6,0,0.93
Montana,MT,2015,MT2015,0,0,26.2,12.7,39.7,0.502,62210,349.6,0,0.131,39.9,0,0.935
Montana,MT,2016,MT2016,0,0,25.6,9.1,41.9,0.502,68480,368.3,0,0.134,40.1,0,0.928
Montana,MT,2017,MT2017,0,0,29.6,12.5,46.5,0.496,67690,377.1,0,0.135,40,0,0.93
Montana,MT,2018,MT2018,0,0,24.9,11,38.7,0.505,66670,374.1,0,0.139,40.1,0,0.939
Montana,MT,2019,MT2019,0,0,27,14.9,39,0.499,68560,404.9,0,0.139,40.5,0,0.942
Montana,MT,2020,MT2020,0,0,27.8,11.2,44.1,0.503,63960,469.8415754,0,0.1505,40.1,0,0.94
Montana,MT,2021,MT2021,0,0,32,,,,,,0,,,,
Nebraska,NE,2012,NE2012,0,0,12.4,4.6,20.4,0.494,64810,259.4,0,0.185,36.3,1,0.91
Nebraska,NE,2013,NE2013,0,0,11.8,4.8,18.8,0.494,70690,262.1,0,0.191,36.3,1,0.902
Nebraska,NE,2014,NE2014,0,0,13.3,5.2,21.6,0.498,68790,280.4,0,0.191,36.2,1,0.9
Nebraska,NE,2015,NE2015,0,0,11.8,4.9,18.6,0.496,73200,274.9,0,0.198,36.1,1,0.91
Nebraska,NE,2016,NE2016,0,0,12.9,4.6,21.2,0.496,71240,291,0,0.2,36.3,1,0.909
Nebraska,NE,2017,NE2017,0,0,14.3,5.6,23.1,0.498,70260,305.9,0,0.208,36.5,1,0.913
Nebraska,NE,2018,NE2018,0,0,14,4.9,23.3,0.496,78110,284.8,0,0.213,36.7,1,0.914
Nebraska,NE,2019,NE2019,0,0,16,6.3,25.7,0.497,83230,300.9,0,0.215,36.8,1,0.92
Nebraska,NE,2020,NE2020,0,0,14.6,4.3,24.9,0.4975,81440,334.0813563,0,0.2245,36.6,1,0.92
Nebraska,NE,2021,NE2021,0,0,15,,,,,,0,,,,
Nevada,NV,2012,NV2012,2017,1,19,10.2,27.7,0.502,58770,607.6,0,0.471,36.8,1,0.85
Nevada,NV,2013,NV2013,2017,1,19.4,9.1,29.5,0.499,63600,603,0,0.478,37.1,1,0.852
Nevada,NV,2014,NV2014,2017,1,20.1,8.8,31.4,0.499,60330,635.6,0,0.478,37.4,1,0.85
Nevada,NV,2015,NV2015,2017,1,19.3,10.2,28.3,0.497,62960,695.9,0,0.494,37.8,1,0.856
Nevada,NV,2016,NV2016,2017,1,22.1,11.1,33,0.498,66510,678.1,0,0.501,37.9,1,0.86
Nevada,NV,2017,NV2017,2017,1,20.9,11,30.8,0.497,68440,555.9,1,0.511,38,1,0.868
Nevada,NV,2018,NV2018,2017,1,21.7,10.9,32.3,0.498,71510,541.1,1,0.515,38.2,1,0.869
Nevada,NV,2019,NV2019,2017,1,20.8,8.9,32.8,0.497,80760,493.8,1,0.522,38.4,0,0.869
Nevada,NV,2020,NV2020,2017,1,19.2,7.7,30.6,0.499,68950,460.2870573,1,0.5355,38.2,0,0.87
Nevada,NV,2021,NV2021,2017,1,21.5,,,,,,1,,,,
New Hampshire,NH,2012,NH2012,2019,1,15.2,6.4,24.2,0.49,84210,187.9,0,0.081,41.9,0,0.92
New Hampshire,NH,2013,NH2013,2019,1,14,6.6,21.6,0.491,84770,215.3,0,0.083,42.3,0,0.928
New Hampshire,NH,2014,NH2014,2019,1,18.6,8.3,29.1,0.493,88780,196.1,0,0.083,42.5,0,0.92
New Hampshire,NH,2015,NH2015,2019,1,17.1,9.2,25.2,0.495,91600,199.3,0,0.087,42.8,0,0.931
New Hampshire,NH,2016,NH2016,2019,1,18.3,9.1,27.7,0.499,91500,197.6,0,0.089,42.7,0,0.928
New Hampshire,NH,2017,NH2017,2019,1,19.7,8.7,31,0.496,89180,198.7,0,0.094,43.2,1,0.931
New Hampshire,NH,2018,NH2018,2019,1,20.6,8.2,33.2,0.494,94020,173.2,0,0.098,43.1,1,0.931
New Hampshire,NH,2019,NH2019,2019,1,18.8,7.1,30.6,0.494,98980,152.5,1,0.102,43,1,0.933
New Hampshire,NH,2020,NH2020,2019,1,17.1,7.8,26.6,0.497,100200,146.3834148,1,0.113,43,1,0.93
New Hampshire,NH,2021,NH2021,2019,1,15.1,,,,,,1,,,,
New Jersey,NJ,2012,NJ2012,2013,1,7.6,3.2,12.3,0.485,82810,290.2,0,0.419,39.4,1,0.88
New Jersey,NJ,2013,NJ2013,2013,1,8.5,3.6,13.5,0.486,78210,288.5,1,0.425,39.4,1,0.885
New Jersey,NJ,2014,NJ2014,2013,1,8.8,4.3,13.5,0.487,78920,261.2,1,0.425,39.4,1,0.89
New Jersey,NJ,2015,NJ2015,2013,1,8.8,4.3,13.5,0.486,82750,255.4,1,0.438,39.6,1,0.891
New Jersey,NJ,2016,NJ2016,2013,1,7.7,3.4,12.1,0.486,82150,245,1,0.443,39.5,1,0.893
New Jersey,NJ,2017,NJ2017,2013,1,8.8,4.4,13.4,0.486,84000,228.8,1,0.45,39.8,1,0.899
New Jersey,NJ,2018,NJ2018,2013,1,8.7,4.1,13.6,0.486,85740,208.1,1,0.453,40,0,0.902
New Jersey,NJ,2019,NJ2019,2013,1,8.6,4.2,13.1,0.487,99920,206.9,1,0.455,40.2,0,0.903
New Jersey,NJ,2020,NJ2020,2013,1,7.6,3.4,12.1,0.4885,96430,195.3645035,1,0.4665,40,0,0.9
New Jersey,NJ,2021,NJ2021,2013,1,7.1,,,,,,1,,,,
New Mexico,NM,2012,NM2012,2017,1,21.1,9.9,32.6,0.493,53920,559.1,0,0.602,36.8,1,0.84
New Mexico,NM,2013,NM2013,2017,1,20.5,10.3,31,0.492,49280,613,0,0.606,36.9,1,0.843
New Mexico,NM,2014,NM2014,2017,1,21.5,9.4,33.9,0.489,56470,597.4,0,0.606,37.2,1,0.84
New Mexico,NM,2015,NM2015,2017,1,24,12,36.2,0.492,54620,656.1,0,0.617,37.4,1,0.846
New Mexico,NM,2016,NM2016,2017,1,22.6,10.2,35.3,0.489,58130,702.5,0,0.621,37.7,1,0.854
New Mexico,NM,2017,NM2017,2017,1,23.5,10.3,36.9,0.493,53770,783.5,1,0.627,37.7,1,0.861
New Mexico,NM,2018,NM2018,2017,1,25.5,12.6,38.8,0.491,55810,856.6,1,0.631,38.1,1,0.854
New Mexico,NM,2019,NM2019,2017,1,24.5,10.9,38.3,0.488,60500,832.2,1,0.633,38.6,0,0.859
New Mexico,NM,2020,NM2020,2017,1,24.5,10.2,39,0.489,57380,778.2771745,1,0.6425,38.1,0,0.87
New Mexico,NM,2021,NM2021,2017,1,25,,,,,,1,,,,
New York,NY,2012,NY2012,2019,1,8.7,4,13.7,0.483,59200,406.8,0,0.426,38.1,0,0.85
New York,NY,2013,NY2013,2019,1,8.6,4,13.4,0.484,61300,393.7,0,0.43,38.2,0,0.856
New York,NY,2014,NY2014,2019,1,8.6,4.3,13.1,0.484,65690,381.8,0,0.43,38.2,0,0.86
New York,NY,2015,NY2015,2019,1,8.3,4.3,12.6,0.484,70210,379.7,0,0.441,38.3,0,0.86
New York,NY,2016,NY2016,2019,1,8.5,4,13.2,0.484,73720,376.2,0,0.444,38.4,0,0.863
New York,NY,2017,NY2017,2019,1,8.5,3.9,13.4,0.484,72570,356.7,0,0.448,38.7,0,0.866
New York,NY,2018,NY2018,2019,1,8.8,3.8,14.1,0.484,77760,350.5,0,0.447,39,0,0.871
New York,NY,2019,NY2019,2019,1,8.8,3.9,14,0.484,81840,358.6,1,0.448,39.2,0,0.876
New York,NY,2020,NY2020,2019,1,8.5,3.7,13.6,0.4855,77400,363.7576398,1,0.4565,39,0,0.87
New York,NY,2021,NY2021,2019,1,7.9,,,,,,1,,,,
North Carolina,NC,2012,NC2012,2019,1,13.2,6.6,20.1,0.482,51600,353.4,0,0.353,37.8,1,0.85
North Carolina,NC,2013,NC2013,2019,1,13,5.8,20.5,0.482,56850,342.2,0,0.355,37.9,1,0.857
North Carolina,NC,2014,NC2014,2019,1,13.6,7.2,20.3,0.481,56590,329.5,0,0.355,38.3,1,0.86
North Carolina,NC,2015,NC2015,2019,1,14,6.5,21.8,0.483,61490,347,0,0.362,38.4,1,0.866
North Carolina,NC,2016,NC2016,2019,1,13.5,6.9,20.5,0.481,64510,372.2,0,0.364,38.7,1,0.873
North Carolina,NC,2017,NC2017,2019,1,14.8,6.5,23.6,0.482,58420,363.7,0,0.369,38.8,0,0.878
North Carolina,NC,2018,NC2018,2019,1,14.4,6.2,23.1,0.481,61690,377.6,0,0.371,38.9,0,0.882
North Carolina,NC,2019,NC2019,2019,1,12.9,5.7,20.6,0.48,69660,371.8,1,0.373,39.1,0,0.886
North Carolina,NC,2020,NC2020,2019,1,13.6,5.5,22.2,0.4815,68120,419.3165002,1,0.381,38.9,0,0.89
North Carolina,NC,2021,NC2021,2019,1,13.2,,,,,,1,,,,
Ohio,OH,2012,OH2012,0,0,13.3,5.4,21.6,0.486,55100,299.7,0,0.191,39.3,1,0.89
Ohio,OH,2013,OH2013,0,0,13.2,5.7,21,0.487,62260,286.2,0,0.194,39.3,1,0.89
Ohio,OH,2014,OH2014,0,0,12.9,5.5,20.5,0.488,60050,284.9,0,0.194,39.4,1,0.89
Ohio,OH,2015,OH2015,0,0,14.2,5.7,23,0.488,64520,291.9,0,0.201,39.3,1,0.897
Ohio,OH,2016,OH2016,0,0,14.7,6.2,23.5,0.489,64770,300.3,0,0.204,39.3,1,0.9
Ohio,OH,2017,OH2017,0,0,14.9,5.5,24.7,0.487,71560,297.5,0,0.208,39.3,1,0.903
Ohio,OH,2018,OH2018,0,0,15.7,6.5,25.3,0.489,71240,279.9,0,0.212,39.5,1,0.907
Ohio,OH,2019,OH2019,0,0,15.4,5.9,25.4,0.489,73650,293.2,0,0.214,39.6,1,0.908
Ohio,OH,2020,OH2020,0,0,14,5.1,23.3,0.4895,68060,308.7601983,0,0.2235,39.5,1,0.91
Ohio,OH,2021,OH2021,0,0,14.6,,,,,,0,,,,
Oklahoma,OK,2012,OK2012,0,0,17.5,7.2,28,0.49,60110,469.3,0,0.319,36.3,1,0.87
Oklahoma,OK,2013,OK2013,0,0,17.3,6.9,27.8,0.49,56630,441.2,0,0.323,36.2,1,0.867
Oklahoma,OK,2014,OK2014,0,0,18.9,8.9,29.1,0.489,57090,406,0,0.323,36.2,1,0.87
Oklahoma,OK,2015,OK2015,0,0,20.2,8.7,32,0.491,56990,422,0,0.333,36.3,1,0.873
Oklahoma,OK,2016,OK2016,0,0,20.9,8.1,34,0.491,61120,449.8,0,0.337,36.4,1,0.878
Oklahoma,OK,2017,OK2017,0,0,19.2,9.2,29.5,0.489,61180,456.2,0,0.341,36.6,1,0.881
Oklahoma,OK,2018,OK2018,0,0,20,8.4,31.8,0.49,62920,466.1,0,0.347,36.7,1,0.884
Oklahoma,OK,2019,OK2019,0,0,20.6,8.1,33.4,0.49,67650,431.8,0,0.35,37,1,0.884
Oklahoma,OK,2020,OK2020,0,0,21.8,9,34.9,0.4925,59150,458.578124,0,0.3605,36.7,1,0.89
Oklahoma,OK,2021,OK2021,0,0,22.1,,,,,,0,,,,
Oregon,OR,2012,OR2012,2015,1,18.5,8.7,28.5,0.495,64290,247.6,0,0.222,38.9,0,0.9
Oregon,OR,2013,OR2013,2015,1,17.7,8.1,27.5,0.493,60110,254,0,0.225,39.1,0,0.897
Oregon,OR,2014,OR2014,2015,1,19.7,8.4,31.2,0.492,71220,232.3,0,0.225,39.3,0,0.9
Oregon,OR,2015,OR2015,2015,1,18.9,9,28.9,0.492,73640,259.8,1,0.233,39.1,0,0.9
Oregon,OR,2016,OR2016,2015,1,18.8,9.1,28.7,0.495,70950,264.6,1,0.237,39.2,0,0.903
Oregon,OR,2017,OR2017,2015,1,19.9,9.3,30.6,0.494,73690,281.8,1,0.242,39.3,0,0.91
Oregon,OR,2018,OR2018,2015,1,20.1,10,30.4,0.494,79950,285.5,1,0.248,39.6,0,0.905
Oregon,OR,2019,OR2019,2015,1,21.5,10.5,32.7,0.492,84760,284.4,1,0.25,39.7,0,0.914
Oregon,OR,2020,OR2020,2015,1,19.6,7.6,31.8,0.4945,86630,291.8773917,1,0.2645,39.5,0,0.91
Oregon,OR,2021,OR2021,2015,1,19.5,,,,,,1,,,,
Pennsylvania,PA,2012,PA2012,0,0,12.9,5,21.2,0.487,64450,348.7,0,0.209,40.5,1,0.89
Pennsylvania,PA,2013,PA2013,0,0,14,5.8,22.6,0.486,67670,335.4,0,0.214,40.6,0,0.892
Pennsylvania,PA,2014,PA2014,0,0,14.2,5.8,23,0.487,66740,314.1,0,0.214,40.7,0,0.89
Pennsylvania,PA,2015,PA2015,0,0,14.8,6.5,23.4,0.486,73100,315.1,0,0.224,40.7,0,0.897
Pennsylvania,PA,2016,PA2016,0,0,15.4,6.7,24.4,0.488,73170,316.4,0,0.227,40.6,0,0.901
Pennsylvania,PA,2017,PA2017,0,0,15.8,7.1,25,0.488,72260,313.3,0,0.233,40.8,0,0.906
Pennsylvania,PA,2018,PA2018,0,0,15.7,6.5,25.3,0.487,74580,306,0,0.237,40.8,0,0.91
Pennsylvania,PA,2019,PA2019,0,0,14.8,6.1,23.8,0.487,80390,306.4,0,0.24,40.8,0,0.91
Pennsylvania,PA,2020,PA2020,0,0,13.3,5.1,21.8,0.4895,79800,389.5174108,0,0.2505,40.9,0,0.91
Pennsylvania,PA,2021,PA2021,0,0,13.9,,,,,,0,,,,
Rhode Island,RI,2012,RI2012,2017,1,10,5,15.3,0.483,69610,252.4,0,0.247,39.8,0,0.86
Rhode Island,RI,2013,RI2013,2017,1,12.6,5.5,20,0.49,69100,257.2,0,0.254,39.9,0,0.859
Rhode Island,RI,2014,RI2014,2017,1,10.5,5.5,15.8,0.484,70920,219.2,0,0.254,39.8,0,0.86
Rhode Island,RI,2015,RI2015,2017,1,11.9,5,19.3,0.484,67430,242.5,0,0.267,39.7,0,0.877
Rhode Island,RI,2016,RI2016,2017,1,11.9,5.9,18.3,0.484,73830,238.9,0,0.272,40.2,0,0.885
Rhode Island,RI,2017,RI2017,2017,1,12.2,5.7,19,0.485,77120,232.2,1,0.278,39.5,0,0.883
Rhode Island,RI,2018,RI2018,2017,1,10,4.4,15.9,0.486,71970,219.1,1,0.285,40,0,0.891
Rhode Island,RI,2019,RI2019,2017,1,11.6,6.3,17.3,0.489,79900,221.1,1,0.295,40.1,0,0.893
Rhode Island,RI,2020,RI2020,2017,1,8.9,,15,0.489,90380,230.8147097,1,0.303,40,0,0.89
Rhode Island,RI,2021,RI2021,2017,1,10.3,,,,,,1,,,,
South Carolina,SC,2012,SC2012,0,0,14.2,6.7,22.2,0.48,55130,558.8,0,0.357,38.3,1,0.85
South Carolina,SC,2013,SC2013,0,0,14.6,5.9,23.7,0.48,53440,508.5,0,0.358,38.6,1,0.856
South Carolina,SC,2014,SC2014,0,0,15.6,7,24.6,0.481,54350,497.7,0,0.358,38.8,1,0.86
South Carolina,SC,2015,SC2015,0,0,15.1,7.3,23.4,0.482,56120,504.5,0,0.36,39,1,0.863
South Carolina,SC,2016,SC2016,0,0,16.4,8,25.4,0.48,65200,501.8,0,0.36,39.1,1,0.866
South Carolina,SC,2017,SC2017,0,0,16.7,7.4,26.5,0.48,64310,506.2,0,0.36,39.4,1,0.874
South Carolina,SC,2018,SC2018,0,0,15.9,6.5,26,0.48,66400,488.3,0,0.362,39.7,1,0.884
South Carolina,SC,2019,SC2019,0,0,16.5,6.3,27.5,0.477,70650,511.3,0,0.363,39.9,1,0.883
South Carolina,SC,2020,SC2020,0,0,16.6,6,28,0.4795,68020,530.6781857,0,0.3675,39.7,1,0.88
South Carolina,SC,2021,SC2021,0,0,15.2,,,,,,0,,,,
South Dakota,SD,2012,SD2012,0,0,16.9,5.8,28,0.499,61360,321.8,0,0.16,36.7,1,0.91
South Dakota,SD,2013,SD2013,0,0,17.4,5.5,29.2,0.502,65530,316.5,0,0.163,36.6,1,0.916
South Dakota,SD,2014,SD2014,0,0,16.5,7.5,25.4,0.5,64170,326.5,0,0.163,36.6,1,0.92
South Dakota,SD,2015,SD2015,0,0,20,10.6,29.4,0.501,66660,383.1,0,0.171,36.9,1,0.911
South Dakota,SD,2016,SD2016,0,0,18.8,8.4,29.1,0.502,68930,418.4,0,0.173,36.8,1,0.912
South Dakota,SD,2017,SD2017,0,0,22,8.6,35.1,0.502,67110,433.6,0,0.175,36.9,1,0.917
South Dakota,SD,2018,SD2018,0,0,18.9,9.8,27.8,0.501,68730,404.7,0,0.184,37.2,1,0.923
South Dakota,SD,2019,SD2019,0,0,20.6,7.3,33.6,0.504,73190,399,0,0.181,37.7,1,0.921
South Dakota,SD,2020,SD2020,0,0,20.8,8.4,33.1,0.5055,79120,501.3906983,0,0.1895,37.2,1,0.92
South Dakota,SD,2021,SD2021,0,0,23.2,,,,,,0,,,,
Tennessee,TN,2012,TN2012,0,0,15.1,6.3,24.5,0.484,53390,643.6,0,0.247,38.2,1,0.85
Tennessee,TN,2013,TN2013,0,0,15.8,6,26.1,0.486,53200,590.6,0,0.249,38.5,1,0.856
Tennessee,TN,2014,TN2014,0,0,15.2,6.1,24.8,0.484,52880,608.4,0,0.249,38.6,1,0.86
Tennessee,TN,2015,TN2015,0,0,16.2,6.8,26.1,0.484,57290,612.1,0,0.255,38.7,1,0.861
Tennessee,TN,2016,TN2016,0,0,16.7,7.4,26.4,0.484,61610,632.9,0,0.256,38.6,1,0.87
Tennessee,TN,2017,TN2017,0,0,17.3,7.5,27.7,0.484,65210,651.5,0,0.259,38.6,1,0.878
Tennessee,TN,2018,TN2018,0,0,17.1,7.9,26.8,0.485,64800,623.7,0,0.262,38.9,1,0.878
Tennessee,TN,2019,TN2019,0,0,17.8,7.9,28.2,0.484,64500,595.2,0,0.264,39,1,0.88
Tennessee,TN,2020,TN2020,0,0,17.7,6.9,29,0.4855,61970,672.7038869,0,0.2705,38.8,1,0.88
Tennessee,TN,2021,TN2021,0,0,17,,,,,,0,,,,
Texas,TX,2012,TX2012,0,0,11.6,4.7,18.6,0.492,64480,408.6,0,0.556,33.9,1,0.81
Texas,TX,2013,TX2013,0,0,11.5,5,18.1,0.492,63070,408.3,0,0.56,34,1,0.819
Texas,TX,2014,TX2014,0,0,12,5.3,18.9,0.491,65170,405.9,0,0.56,34.3,1,0.82
Texas,TX,2015,TX2015,0,0,12.4,5.7,19.2,0.491,68360,412.2,0,0.57,34.4,1,0.824
Texas,TX,2016,TX2016,0,0,12.5,5.5,19.6,0.492,69770,434.4,0,0.575,34.5,1,0.829
Texas,TX,2017,TX2017,0,0,13.3,5.7,21,0.492,70860,438.9,0,0.581,34.7,1,0.836
Texas,TX,2018,TX2018,0,0,13.7,5.7,21.8,0.492,69100,410.9,0,0.586,34.9,1,0.84
Texas,TX,2019,TX2019,0,0,13.4,5.8,21.1,0.491,76820,418.9,0,0.589,35.1,1,0.846
Texas,TX,2020,TX2020,0,0,13.4,5.3,21.5,0.493,77110,446.459848,0,0.598,34.8,1,0.84
Texas,TX,2021,TX2021,0,0,14.2,,,,,,0,,,,
Vermont,VT,2012,VT2012,2016,1,13.9,,24.6,0.496,69010,142.6,0,0.057,42.4,0,0.92
Vermont,VT,2013,VT2013,2016,1,17.7,9.5,26.2,0.493,80370,121.1,0,0.059,42.5,0,0.915
Vermont,VT,2014,VT2014,2016,1,19.8,6.9,33,0.487,73430,99.3,0,0.059,42.8,0,0.92
Vermont,VT,2015,VT2015,2016,1,16.5,,28.2,0.494,72020,118,0,0.064,43.1,0,0.917
Vermont,VT,2016,VT2016,2016,1,18.7,7.6,30.1,0.492,73000,158.3,1,0.065,43.1,0,0.921
Vermont,VT,2017,VT2017,2016,1,17.8,9.2,26.6,0.493,75090,165.8,1,0.069,42.6,1,0.926
Vermont,VT,2018,VT2018,2016,1,20,7.3,33,0.494,80990,172,1,0.071,43.1,1,0.935
Vermont,VT,2019,VT2019,2016,1,17.6,7.9,27.6,0.494,84630,202.2,1,0.072,42.8,1,0.931
Vermont,VT,2020,VT2020,2016,1,18.8,7,30.8,0.495,75810,173.4186577,1,0.083,42.8,1,0.94
Vermont,VT,2021,VT2021,2016,1,20.3,,,,,,1,,,,
Washington,WA,2012,WA2012,2018,1,15,6.4,23.7,0.495,77220,295.6,0,0.283,37.5,0,0.9
Washington,WA,2013,WA2013,2018,1,14.7,7.2,22.2,0.496,78420,289.1,0,0.29,37.4,0,0.901
Washington,WA,2014,WA2014,2018,1,15.8,7.5,24.1,0.497,71450,285.2,0,0.29,37.5,0,0.9
Washington,WA,2015,WA2015,2018,1,15.8,8.7,23,0.497,81400,284.4,0,0.301,37.5,0,0.908
Washington,WA,2016,WA2016,2018,1,15.6,6.8,24.4,0.495,84360,302.2,0,0.305,37.7,0,0.908
Washington,WA,2017,WA2017,2018,1,17.5,8,27,0.496,84360,304.5,0,0.313,37.7,0,0.913
Washington,WA,2018,WA2018,2018,1,16.6,8.4,24.8,0.497,92150,311.5,1,0.321,37.7,0,0.916
Washington,WA,2019,WA2019,2018,1,16.6,7,26.1,0.497,93910,293.9,1,0.325,37.9,0,0.917
Washington,WA,2020,WA2020,2018,1,15.8,7.2,24.3,0.498,91710,293.6982005,1,0.3395,37.8,0,0.92
Washington,WA,2021,WA2021,2018,1,15.3,,,,,,1,,,,
West Virginia,WV,2012,WV2012,0,0,17.6,7.8,27.6,0.49,54080,316.3,0,0.067,41.5,0,0.85
West Virginia,WV,2013,WV2013,0,0,17.4,5.6,29.5,0.491,52840,300.3,0,0.068,41.7,0,0.846
West Virginia,WV,2014,WV2014,0,0,19.4,8.4,30.6,0.492,47840,302,0,0.068,41.9,0,0.85
West Virginia,WV,2015,WV2015,0,0,18.4,7.4,29.7,0.49,51840,337.9,0,0.072,42.2,0,0.86
West Virginia,WV,2016,WV2016,0,0,19.7,8.9,30.8,0.492,53220,358.1,0,0.076,42.3,0,0.86
West Virginia,WV,2017,WV2017,0,0,21.6,9.4,34.1,0.49,55370,350.7,0,0.074,42.4,1,0.871
West Virginia,WV,2018,WV2018,0,0,21.9,8.7,35.3,0.493,58460,289.9,0,0.075,42.8,1,0.878
West Virginia,WV,2019,WV2019,0,0,18.4,8.2,28.8,0.491,61170,316.6,0,0.075,42.9,1,0.871
West Virginia,WV,2020,WV2020,0,0,19.8,7,32.9,0.4925,58580,355.8968101,0,0.0845,42.7,1,0.88
West Virginia,WV,2021,WV2021,0,0,20.6,,,,,,0,,,,
Wyoming,WY,2012,WY2012,0,0,29.7,11.3,47.2,0.504,71410,201.4,0,0.152,36.9,1,0.92
Wyoming,WY,2013,WY2013,0,0,22.1,,37.7,0.504,82740,205.1,0,0.15,36.6,1,0.935
Wyoming,WY,2014,WY2014,0,0,20.5,8.4,32.2,0.507,67360,195.5,0,0.15,36.6,1,0.93
Wyoming,WY,2015,WY2015,0,0,26.8,11.5,41.5,0.495,73750,222.1,0,0.157,36.5,1,0.922
Wyoming,WY,2016,WY2016,0,0,24.6,11.2,37.5,0.505,69390,244.2,0,0.153,37.2,1,0.932
Wyoming,WY,2017,WY2017,0,0,27.1,10.2,43.3,0.509,70200,237.5,0,0.158,37.5,1,0.929
Wyoming,WY,2018,WY2018,0,0,25.4,13.8,36.7,0.504,72290,212.2,0,0.158,38.5,1,0.933
Wyoming,WY,2019,WY2019,0,0,29.4,8.1,49.9,0.509,74190,217.4,0,0.162,38.1,1,0.945
Wyoming,WY,2020,WY2020,0,0,31.3,10.2,51.5,0.5095,73780,234.232254,0,0.1745,38,1,0.94
Wyoming,WY,2021,WY2021,0,0,32.3,,,,,,0,,,,